REGIJA,SPOL,LETO,DELOVNO.AKTIVNO.PREBIVALSTVO,PREBIVALSTVO
Goriška,Skupaj,2005,48838,119622
Goriška,Skupaj,2006,49379,119628
Goriška,Skupaj,2007,50828,119477
Goriška,Skupaj,2008,52185,120329
Goriška,Skupaj,2009,50214,118533
Goriška,Skupaj,2010,48377,119080
Goriška,Skupaj,2011,47305,119146
Goriška,Skupaj,2012,46345,119236
Goriška,Skupaj,2013,45083,119002
Goriška,Skupaj,2014,45173,118374
Goriška,Skupaj,2015,45571,118188
Goriška,Skupaj,2016,46335,118064
Goriška,Skupaj,2017,47839,117747
Goriška,Skupaj,2018,49283,117260
Goriška,Skupaj,2019,50122,117616
Goriška,Skupaj,2020,50161,118041
Goriška,Moški,2005,NA,59010
Goriška,Moški,2006,NA,59106
Goriška,Moški,2007,NA,59086
Goriška,Moški,2008,NA,59977
Goriška,Moški,2009,NA,59121
Goriška,Moški,2010,27319,59588
Goriška,Moški,2011,26453,59561
Goriška,Moški,2012,25686,59514
Goriška,Moški,2013,24883,59367
Goriška,Moški,2014,25127,59156
Goriška,Moški,2015,25253,59055
Goriška,Moški,2016,25504,59018
Goriška,Moški,2017,26365,58896
Goriška,Moški,2018,27242,58708
Goriška,Moški,2019,27855,59159
Goriška,Moški,2020,27856,59676
Goriška,Ženske,2005,NA,60612
Goriška,Ženske,2006,NA,60522
Goriška,Ženske,2007,NA,60391
Goriška,Ženske,2008,NA,60352
Goriška,Ženske,2009,NA,59412
Goriška,Ženske,2010,21058,59492
Goriška,Ženske,2011,20853,59585
Goriška,Ženske,2012,20659,59722
Goriška,Ženske,2013,20200,59635
Goriška,Ženske,2014,20047,59218
Goriška,Ženske,2015,20319,59133
Goriška,Ženske,2016,20831,59046
Goriška,Ženske,2017,21474,58851
Goriška,Ženske,2018,22042,58552
Goriška,Ženske,2019,22267,58457
Goriška,Ženske,2020,22305,58365
Obalno-kraška,Skupaj,2005,44011,105029
Obalno-kraška,Skupaj,2006,44946,105632
Obalno-kraška,Skupaj,2007,46437,106162
Obalno-kraška,Skupaj,2008,48107,107905
Obalno-kraška,Skupaj,2009,47909,108778
Obalno-kraška,Skupaj,2010,47215,110412
Obalno-kraška,Skupaj,2011,46051,110760
Obalno-kraška,Skupaj,2012,45150,111423
Obalno-kraška,Skupaj,2013,43694,111936
Obalno-kraška,Skupaj,2014,43886,112848
Obalno-kraška,Skupaj,2015,44489,112773
Obalno-kraška,Skupaj,2016,45523,113070
Obalno-kraška,Skupaj,2017,47183,113517
Obalno-kraška,Skupaj,2018,48754,113961
Obalno-kraška,Skupaj,2019,49898,115016
Obalno-kraška,Skupaj,2020,49150,115913
Obalno-kraška,Moški,2005,NA,51789
Obalno-kraška,Moški,2006,NA,52166
Obalno-kraška,Moški,2007,NA,52549
Obalno-kraška,Moški,2008,NA,53891
Obalno-kraška,Moški,2009,NA,54181
Obalno-kraška,Moški,2010,26894,55256
Obalno-kraška,Moški,2011,25933,55262
Obalno-kraška,Moški,2012,25261,55473
Obalno-kraška,Moški,2013,24190,55769
Obalno-kraška,Moški,2014,24394,55922
Obalno-kraška,Moški,2015,24632,55928
Obalno-kraška,Moški,2016,25101,55958
Obalno-kraška,Moški,2017,25993,56166
Obalno-kraška,Moški,2018,26831,56425
Obalno-kraška,Moški,2019,27553,57181
Obalno-kraška,Moški,2020,26999,57800
Obalno-kraška,Ženske,2005,NA,53240
Obalno-kraška,Ženske,2006,NA,53466
Obalno-kraška,Ženske,2007,NA,53613
Obalno-kraška,Ženske,2008,NA,54014
Obalno-kraška,Ženske,2009,NA,54597
Obalno-kraška,Ženske,2010,20321,55156
Obalno-kraška,Ženske,2011,20118,55498
Obalno-kraška,Ženske,2012,19889,55950
Obalno-kraška,Ženske,2013,19504,56167
Obalno-kraška,Ženske,2014,19492,56926
Obalno-kraška,Ženske,2015,19857,56845
Obalno-kraška,Ženske,2016,20422,57112
Obalno-kraška,Ženske,2017,21191,57351
Obalno-kraška,Ženske,2018,21923,57536
Obalno-kraška,Ženske,2019,22346,57835
Obalno-kraška,Ženske,2020,22151,58113
